artist,album,song title,url,lyrics,number of words,most common non-stop word
Adele,Pal Joey [1980 London Cast Recording] [1998],That Terrific Rainbow,https://www.lyrics.com/lyric/2172832/Jane+Gurnett/That+Terrific+Rainbow,"My life had no color, before I met you
What could have been duller, the times I went through
You weakened my resistance, and colored my existence
I'm happy, and unhappy too

I'm a red hot Mama, but I'm blue for you
I get purple with anger, at the things you do
And I'm green with envy, when you meet a dame
But you burn my heart up with an orange flame.

I'm a red hot mama, but you white and cold
Don't you know your Mama has a heart of gold
Though we're in those gray clouds, someday you see
That terrific rainbow over you and me.
",108,"(""I'm"", 5)"
Adele,19 [2008],Tired,https://www.lyrics.com/lyric/13856253/Adele/Tired,"Hold my hand while you cut me down
It had only just begun but now it's over now
And you're in the heat of moments with your heart playing up cold
I'm between the middle watching hastiness unfold
On my eyes you were smiling in the spotlight dancing with the night
The night
When I fell off your mind

I'm tired of trying
Your teasing ain't enough
Fed up of biding your time
When I don't get nothing back
And for what, and for what, and for what
When I don't get nothing back
Oy, I'm tired

Where'd you go when you stayed behind
I looked up and inside down and outside only to find
A double taking punching hard and laughing at my smile
I get closer you obviously prefer her

I'm tired of trying
Your teasing ain't enough
Fed up of biding your time
When I don't get nothing back
And for what, and for what, and for what
When I don't get nothing back
Boy I'm tired of trying
Your teasing ain't enough
Fed up of biding your time
When I don't get nothing back
And for what, and for what, and for what
When I don't get nothing back
Oy, I'm tired

(I should have known)

Never mind said your open arms
I couldn't help believe they tricked me back into them, even though

I'm tired of trying
Your teasing ain't enough
Fed up of biding your time
When I don't get nothing back
And for what, and for what, and for what
When I don't get nothing back
Boy I'm tired of trying
Your teasing ain't enough
Fed up of biding your time
When I don't get nothing back
And for what, and for what, and for what
When I don't get nothing back
Oy, I'm tired
",302,"('get', 11)"
Adele,19 [Bonus CD] [2008],"That's It, I Quit, I'm Moving On [Live][*]",https://www.lyrics.com/lyric/14257144/Adele/That%27s+It%2C+I+Quit%2C+I%27m+Moving+On+%5BLive%5D%5B%2A%5D,"When we used
To say goodnight
I'd always kiss
And hold you tight
But lately
You don't seem
To care
You close the door
And leave me
Standing there
Oh, honey
That's not fair
That's it
I quit
I'm movin' on

The other night
We had a date
An you showed up
Two hours late
And though your hair
Was all in place
Somebody smeared
Their lipstick
On your face
Oh, they smeared it
Every place
Ye that's it honey
I quit I'm movin' on

[Chorus]
You made me want you
You made me leave you
You made me tumble
And fall
But if I
Can't have you the way
I want you
I don't want you at all

Baby, I can take a lot
'Cause I love
Everything you got
Though your kisses
Fill me
So if you got
Someone else
I gotta go
Oh, that you know
Ye that's it honey
I quit I'm movin' on

[Chorus]

Baby
I can take a lot
'Cause I love
Everything you got
Though your kisses
Fill me
So if you got
Someone else
I gotta go
Oh, that you know
So that's it baby
I quit I'm movin' on
Ye that's it baby
I quit now
I'm movin' on
",208,"('quit', 5)"
Adele,19 [Deluxe Edition] [2008],"Right as Rain [Live at Roxy, Los Angeles] [North American Tour Film] [L",https://www.lyrics.com/lyric/19021289/Adele/Right+as+Rain+%5BLive+at+Roxy%2C+Los+Angeles%5D+%5BNorth+American+Tour+Film%5D+%5BL,"Who wants to be right as rain
It's better when something is wrong
You get excitement in your bones
And everything you do's a game
When night comes and you're all on your own
You can say I chose to be alone
Who wants to be right as rain
It's harder when you're on top

[Chorus]
Cause when hard work don't pay off
And I'm tired there ain't no room in my bed
As far as I'm concerned
So wipe that dirty smile off
We won't be making up
I've cried my heart out
And now I've had enough of love

Who wants to be riding high
When you'll just crumble back on down
You give up everything you are
And even then you don't get far
They make believe that everything
Is exactly what it seems
But at least when you're at your worst
You know how to feel things

[Chorus]

Go ahead and still (it's not steal) my heart
To make me cry again
Cause it will never hurt
As much as it did then
We were both right
And no one had blame
But now I give up
On this endless game

Cause who wants to be right as rain
It's better when something is wrong
I get excitement in my bones
Even though everything's a strain
When night comes and I'm all on my own
You should know I chose to be alone
So who want to be right as rain
It's harder when you're on top

[Chorus]
",252,"('right', 5)"
Adele,19 [Japan Bonus Tracks] [2008],"That's It, I Quit, I'm Moving On [*]",https://www.lyrics.com/lyric/13951449/Adele/That%27s+It%2C+I+Quit%2C+I%27m+Moving+On+%5B%2A%5D,"When we used
To say goodnight
I'd always kiss
And hold you tight
But lately
You don't seem
To care
You close the door
And leave me
Standing there
Oh, honey
That's not fair
That's it
I quit
I'm movin' on

The other night
We had a date
An you showed up
Two hours late
And though your hair
Was all in place
Somebody smeared
Their lipstick
On your face
Oh, they smeared it
Every place
Ye that's it honey
I quit I'm movin' on

Oh

You made me want you
You made me leave you
You made me tumble
And fall
But if I
Can't have you the way
I want you
I don't want you at all

Baby, I can take a lot
Cause I love
Everything you got
Though your kisses
Fill me
So if you got
Someone else
I gotta go
Oh, that you know
Ye that's it honey
I quit I'm movin' on

Oh

You made me want you
You made me leave you
You made me tumble
And fall
But if I
Can't have you the way
I want you
I don't want you at all

Baby
I can take a lot
Cause I love
Everything you got
Though your kisses
Fill me
So if you got
Someone else
I gotta go
Oh, that you know
So that's it baby
I quit I'm movin' on
Ye that's it baby
I quit now
I'm movin' on
",241,"('Oh', 6)"
Adele,Chasing Pavements [2 Tracks] [2008],"That's It, I Quit, I'm Moving On",https://www.lyrics.com/lyric/13636787/Adele/That%27s+It%2C+I+Quit%2C+I%27m+Moving+On,"When we used
To say goodnight
I'd always kiss
And hold you tight
But lately
You don't seem
To care
You close the door
And leave me
Standing there
Oh, honey
That's not fair
That's it
I quit
I'm movin' on

The other night
We had a date
And you showed up
Two hours late
And though your hair
Was all in place
Somebody smeared
Their lipstick
On your face
Oh, they smeared it
Every place
Yeah, yeah that's it, honey
I quit, I'm movin' on

Oooohhhh

You made me want you
You made me leave you
You made me tumble
And fall
But if I
Can't have you the way
I want you
I don't want you at all

Baby, I can take a lot
'Cause I love
Everything you got
Though your kisses
Sooth me so
If you've got someone else
I gotta go
Oh, that you know
Yeah, that's it, honey
I quit, I'm movin' on

Oooohhhh

You made me want you
You made me leave you
You made me tumble
And fall
But if I can't have you
The way I want you
I don't want you at all

Baby
I can take a lot
'Cause I love
Everything you got
Though your kisses
Sooth me so
If you got someone else
I gotta go
Oh, that you know
So that's it
Baby, I quit now
I'm movin' on

So that's it
Baby, I quit
Oh, I'm movin' on
",243,"('made', 6)"
Adele,Ibiza Annual 2008 [2008],Hometown Glory [Axwell Club Mix],https://www.lyrics.com/lyric/14848782/Adele/Hometown+Glory+%5BAxwell+Club+Mix%5D,"I've been walking in the same way as I did
Missing out the cracks in the pavement
And turning my heel and strutting my feet
""Is there anything I can do for you dear?
Is there anyone I could call?""
""No and thank you, please Madam.
I ain't lost, just wandering""

Round my hometown
Memories are fresh
Round my hometown
Ooh the people I've met
Are the wonders of my world
Are the wonders of my world
Are the wonders of this world
Are the wonders of now

I like it in the city when the air is so thick and opaque
I love to see everybody in short skirts, shorts and shades
I like it in the city when two worlds collide
You get the people and the government
Everybody taking different sides

Shows that we ain't gonna stand shit
Shows that we are united
Shows that we ain't gonna take it
Shows that we ain't gonna stand shit
Shows that we are united

Round my hometown
Memories are fresh
Round my hometown
Ooh the people I've met yea

Are the wonders of my world
Are the wonders of my world
Are the wonders of this world
Are the wonders of my world
Of my world, yeah
Of my world
Of my world, yeah
",215,"('world', 10)"
Adele,Make You Feel My Love [2008],Painting Pictures,https://www.lyrics.com/lyric/15183454/Adele/Painting+Pictures,"Painting pictures with my mind
Making memories using my eyes
Filling up my heart with golden stories
Who adds some spice to the rhythm of life, oh

Welcome sunrise with the morning glory
I've changed my mind
There is no simple
I thought of me, I want to see
I want to feel my heartbeat so
With the world that you feel, leave

I can feel the pressure pushing onto my heart
And it's teasing me
To scratch my itch and beat my drum
So I can start to begin what's begun

Painting pictures
Filling up my heart with golden stories

Painting pictures
Filling up my heart with golden stories

Running riots inside my soul
Fire burning and it's lighting me up
To scratch my itch and beat my drum
So I can finish what has begun

Painting pictures
Filling up my heart with golden stories

Painting pictures
Filling up my heart with golden stories
",155,"('heart', 6)"
Adele,90210 [2009],Many Shades of Black,https://www.lyrics.com/lyric/17665344/The+Raconteurs/Many+Shades+of+Black,"Go ahead, go ahead and smash it on the floor
Take whatever is left, and take it with you out the door
See if I cry
See if I shed a single sorry tear
Can't say that it's been that great
No in fact it's been a wasted worried year

[Chorus]
Everybody sees
And everyone agrees
That you and I are wrong
And it's been that way to long
Take it as it comes
And be thankful when it's done
There's so many ways to act
And there's many shades of black
There's so many shades of black

Let it out, let it all out
Say what's on your mind
You can kick and scream and shout and say things that are so unkind
Yeah-see if I care, see if I stand firm or if I fall
Cause in the back of my mind, and on the tip of my tongue
Is the answer to it all

[Chorus]

Yeah there's many shades of black

[Chorus]

Cause there's many shades of black
There's so many shades of black
Yeah there's any shades of black
There's so many shades of black
Yeah there's many shades of black
There's so many shades of black
And there's many shades of black
There's so many shades of black

Go ahead...
",215,"('many', 11)"
Adele,Love & War [2010],Water and a Flame,https://www.lyrics.com/lyric/17423329/Daniel+Merriweather/Water+and+a+Flame,"Seven days has gone so fast,
I really thought the pain would pass.
It's been nearly an hour,
Since I thought of you.

But your not answering the phone,
I'd settle for a busy tone,
At least that I'd know that you're okay.
A girl like you ain't meant to go away.
Oh

Now you're gone,
There's nothing else I want.
Now that it's over,
There's nothing else I want.
What have I done,
Looks like I was wrong.
Is everything really meant to change,
I guess we're like water and a flame.
Water and a flame

I'm tired of this empty house,
I need a drink to get me out.
A couple more til I forget your name.

I saw a boy that looked like you,
I didn't know quite what to do,
It took a power of will to break my stare.
I realized what I wanted wasn't there.

Now you're gone,
There's nothing else I want.
Now that it's over,
There's nothing else I want.

Is everything really meant to change,
I guess we're like water and a flame.
Water and a flame

If you see me coming
I look away, I look away
And if your mind is made up
I look away, I will look away

If your worry bound
I'm okay, I'm okay, yes I am
All this sorrow and this pain,
Is going to go away

Now you're gone,
There's nothing else I want.
Now that it's over,
There's nothing else I want.
What have I done,
Looks like I was wrong.
Is everything really meant to change,
I guess we're like water and a flame.
Water and a flame
",277,"('like', 7)"
